ticker,mae,rmse,seasonality_mode
SSI,1531.85,1783.62,additive
BCM,3813.82,4323.65,additive
VHM,1301.49,1651.37,additive
VIC,3834.42,4917.44,additive
VRE,1686.07,1976.67,additive
BVH,3427.81,3956.37,additive
POW,189.98,244.24,additive
GAS,4600.38,6024.8,additive
ACB,2142.07,2259.26,additive
BID,4879.13,5675.99,additive
CTG,5226.09,5538.13,additive
HDB,1587.3,1850.21,additive
MBB,3432.73,3652.41,additive
SSB,1081.33,1199.97,additive
SHB,1062.76,1257.87,additive
STB,938.67,1505.47,additive
TCB,6794.14,8229.12,additive
TPB,629.38,754.85,additive
VCB,6204.44,6837.74,additive
VIB,1902.74,2130.19,additive
VPB,1110.4,1362.79,additive
HPG,868.07,1250.62,additive
GVR,6383.91,7611.93,additive
MSN,11264.48,13754.37,additive
VNM,3771.54,4458.61,additive
SAB,2992.01,3888.5,additive
VJC,2144.75,2436.87,additive
MWG,6351.92,7640.61,additive
PLX,1247.97,1627.8,additive
FPT,8359.47,10288.79,additive
