ticker,mae,rmse,seasonality_mode
SSI,4081.98,4482.82,multiplicative
BCM,3715.26,4399.7,multiplicative
VHM,1509.21,1896.66,multiplicative
VIC,5364.88,6616.43,multiplicative
VRE,1775.66,2194.06,multiplicative
BVH,3065.2,3692.34,multiplicative
POW,547.7,652.53,multiplicative
GAS,4265.03,5712.69,multiplicative
ACB,1782.81,1906.89,multiplicative
BID,3074.02,3879.52,multiplicative
CTG,5824.84,6239.16,multiplicative
HDB,1109.71,1319.65,multiplicative
MBB,3944.28,4276.6,multiplicative
SSB,1906.95,2186.15,multiplicative
SHB,1025.23,1126.93,multiplicative
STB,1599.45,1971.16,multiplicative
TCB,8218.53,9538.05,multiplicative
TPB,908.18,1056.13,multiplicative
VCB,6213.08,7196.42,multiplicative
VIB,1775.35,2043.11,multiplicative
VPB,1103.37,1493.9,multiplicative
HPG,1324.31,1608.99,multiplicative
GVR,7335.58,8513.12,multiplicative
MSN,14124.15,16737.98,multiplicative
VNM,4703.0,5547.66,multiplicative
SAB,2184.52,2769.06,multiplicative
VJC,3342.27,4027.08,multiplicative
MWG,6892.72,8019.76,multiplicative
PLX,1415.72,1699.6,multiplicative
FPT,12505.95,15363.96,multiplicative
