ticker,mae,rmse,seasonality_mode
SSI,2874.35,3336.46,add
BCM,3033.05,4123.95,add
VHM,943.89,1215.06,add
VIC,1824.5,2098.55,add
VRE,1566.72,1978.96,add
BVH,2121.33,2471.24,add
POW,282.38,350.71,add
GAS,2502.36,3217.53,add
ACB,3021.64,3181.23,add
BID,6735.97,7249.29,add
CTG,6367.4,6701.87,add
HDB,2371.99,2644.9,add
MBB,4428.77,4662.85,add
SSB,1195.96,1296.33,add
SHB,847.1,927.66,add
STB,2277.78,2506.6,add
TCB,8646.46,9916.65,add
TPB,1153.81,1296.91,add
VCB,11846.45,12238.65,add
VIB,2756.13,3005.36,add
VPB,442.93,503.7,add
HPG,1251.52,1618.75,add
GVR,6473.79,7861.97,add
MSN,4099.92,5819.84,add
VNM,1617.18,2135.88,add
SAB,3732.88,4316.49,add
VJC,4170.5,4499.71,add
MWG,4664.51,5499.4,add
PLX,1505.5,1895.04,add
FPT,11252.17,13739.8,add
