ticker,mae,rmse,seasonality_mode
SSI,2987.27,3439.16,mul
BCM,3745.86,4621.29,mul
VHM,903.56,1176.81,mul
VIC,1749.04,2011.12,mul
VRE,1703.89,2130.71,mul
BVH,1743.79,2110.38,mul
POW,289.37,354.43,mul
GAS,2520.93,3236.97,mul
ACB,2926.59,3092.97,mul
BID,6781.06,7293.81,mul
CTG,6426.42,6760.43,mul
HDB,2486.06,2753.63,mul
MBB,4418.03,4654.3,mul
SSB,1185.02,1285.29,mul
SHB,883.76,967.22,mul
STB,2318.23,2547.29,mul
TCB,8739.05,9997.87,mul
TPB,1134.98,1278.65,mul
VCB,11800.22,12201.45,mul
VIB,2716.55,2968.44,mul
VPB,506.41,575.33,mul
HPG,1088.76,1367.5,mul
GVR,6472.32,7860.79,mul
MSN,4084.69,5802.94,mul
VNM,1587.83,2077.75,mul
SAB,3847.68,4444.19,mul
VJC,4063.81,4394.79,mul
MWG,4702.51,5530.84,mul
PLX,1491.48,1884.45,mul
FPT,11421.85,13910.31,mul
